date,city,aqi_mean
2025-02-06,Cần Thơ,77.20833333333333
2025-02-06,Huế,64.70833333333333
2025-02-06,Hà Nội,162.125
2025-02-06,Hải Phòng,116.79166666666667
2025-02-06,Hồ Chí Minh,96.95833333333333
2025-02-06,Nha Trang,59.916666666666664
2025-02-06,Vinh,92.0
2025-02-06,Đà Nẵng,90.16666666666667
2025-02-07,Cần Thơ,79.625
2025-02-07,Huế,61.25
2025-02-07,Hà Nội,50.0
2025-02-07,Hải Phòng,57.375
2025-02-07,Hồ Chí Minh,110.95833333333333
2025-02-07,Nha Trang,63.875
2025-02-07,Vinh,78.29166666666667
2025-02-07,Đà Nẵng,78.875
2025-02-08,Cần Thơ,79.54166666666667
2025-02-08,Huế,40.5
2025-02-08,Hà Nội,65.91666666666667
2025-02-08,Hải Phòng,62.75
2025-02-08,Hồ Chí Minh,99.20833333333333
2025-02-08,Nha Trang,59.375
2025-02-08,Vinh,82.83333333333333
2025-02-08,Đà Nẵng,71.95833333333333
2025-02-09,Cần Thơ,72.41666666666667
2025-02-09,Huế,52.458333333333336
2025-02-09,Hà Nội,127.375
2025-02-09,Hải Phòng,117.95833333333333
2025-02-09,Hồ Chí Minh,84.625
2025-02-09,Nha Trang,55.083333333333336
2025-02-09,Vinh,89.70833333333333
2025-02-09,Đà Nẵng,68.29166666666667
2025-02-10,Cần Thơ,75.69565217391305
2025-02-10,Huế,62.458333333333336
2025-02-10,Hà Nội,182.16666666666666
2025-02-10,Hải Phòng,141.04166666666666
2025-02-10,Hồ Chí Minh,76.08333333333333
2025-02-10,Nha Trang,54.791666666666664
2025-02-10,Vinh,95.33333333333333
2025-02-10,Đà Nẵng,71.54166666666667
2025-02-11,Cần Thơ,79.25
2025-02-11,Huế,87.125
2025-02-11,Hà Nội,202.41666666666666
2025-02-11,Hải Phòng,127.58333333333333
2025-02-11,Hồ Chí Minh,88.83333333333333
2025-02-11,Nha Trang,50.708333333333336
2025-02-11,Vinh,91.70833333333333
2025-02-11,Đà Nẵng,77.70833333333333
2025-02-12,Cần Thơ,79.43478260869566
2025-02-12,Huế,70.3913043478261
2025-02-12,Hà Nội,197.5
2025-02-12,Hải Phòng,99.33333333333333
2025-02-12,Hồ Chí Minh,102.91666666666667
2025-02-12,Nha Trang,32.95652173913044
2025-02-12,Vinh,81.54166666666667
2025-02-12,Đà Nẵng,64.83333333333333
2025-02-13,Cần Thơ,86.82608695652173
2025-02-13,Huế,34.0
2025-02-13,Hà Nội,170.47826086956522
2025-02-13,Hải Phòng,134.30434782608697
2025-02-13,Hồ Chí Minh,74.43478260869566
2025-02-13,Nha Trang,41.43478260869565
2025-02-13,Vinh,79.47826086956522
2025-02-13,Đà Nẵng,38.08695652173913
2025-02-14,Cần Thơ,84.375
2025-02-14,Huế,37.166666666666664
2025-02-14,Hà Nội,160.70833333333334
2025-02-14,Hải Phòng,116.70833333333333
2025-02-14,Hồ Chí Minh,110.41666666666667
2025-02-14,Nha Trang,57.375
2025-02-14,Vinh,91.58333333333333
2025-02-14,Đà Nẵng,48.916666666666664
2025-02-15,Cần Thơ,83.29166666666667
2025-02-15,Huế,27.958333333333332
2025-02-15,Hà Nội,146.875
2025-02-15,Hải Phòng,105.79166666666667
2025-02-15,Hồ Chí Minh,119.79166666666667
2025-02-15,Nha Trang,53.25
2025-02-15,Vinh,76.625
2025-02-15,Đà Nẵng,64.08333333333333
2025-02-16,Cần Thơ,64.625
2025-02-16,Huế,36.5
2025-02-16,Hà Nội,81.75
2025-02-16,Hải Phòng,95.58333333333333
2025-02-16,Hồ Chí Minh,77.75
2025-02-16,Nha Trang,44.125
2025-02-16,Vinh,66.54166666666667
2025-02-16,Đà Nẵng,46.458333333333336
2025-02-17,Cần Thơ,60.666666666666664
2025-02-17,Huế,33.25
2025-02-17,Hà Nội,134.0
2025-02-17,Hải Phòng,129.29166666666666
2025-02-17,Hồ Chí Minh,66.91666666666667
2025-02-17,Nha Trang,61.130434782608695
2025-02-17,Vinh,67.20833333333333
2025-02-17,Đà Nẵng,39.583333333333336
2025-02-18,Cần Thơ,61.833333333333336
2025-02-18,Huế,56.041666666666664
2025-02-18,Hà Nội,91.70833333333333
2025-02-18,Hải Phòng,158.79166666666666
2025-02-18,Hồ Chí Minh,92.41666666666667
2025-02-18,Nha Trang,60.75
2025-02-18,Vinh,76.20833333333333
2025-02-18,Đà Nẵng,71.875
2025-02-19,Cần Thơ,69.34782608695652
2025-02-19,Huế,67.1304347826087
2025-02-19,Hà Nội,137.66666666666666
2025-02-19,Hải Phòng,175.3913043478261
2025-02-19,Hồ Chí Minh,135.14285714285714
2025-02-19,Nha Trang,65.65217391304348
2025-02-19,Vinh,72.56521739130434
2025-02-19,Đà Nẵng,83.6
2025-02-20,Cần Thơ,70.75
2025-02-20,Huế,61.125
2025-02-20,Hải Phòng,132.54166666666666
2025-02-20,Nha Trang,63.416666666666664
2025-02-20,Vinh,71.625
2025-02-21,Cần Thơ,63.95454545454545
2025-02-21,Huế,59.0
2025-02-21,Hải Phòng,130.85714285714286
2025-02-21,Nha Trang,44.23809523809524
2025-02-21,Vinh,67.68181818181819
2025-02-22,Cần Thơ,70.29166666666667
2025-02-22,Huế,56.041666666666664
2025-02-22,Hải Phòng,144.125
2025-02-22,Nha Trang,33.166666666666664
2025-02-22,Vinh,67.33333333333333
2025-02-23,Cần Thơ,51.416666666666664
2025-02-23,Huế,54.25
2025-02-23,Hải Phòng,96.83333333333333
2025-02-23,Nha Trang,19.041666666666668
2025-02-23,Vinh,63.583333333333336
2025-02-24,Cần Thơ,55.833333333333336
2025-02-24,Huế,45.666666666666664
2025-02-24,Hải Phòng,74.04166666666667
2025-02-24,Nha Trang,43.041666666666664
2025-02-24,Vinh,70.625
2025-02-25,Cần Thơ,67.70833333333333
2025-02-25,Huế,31.833333333333332
2025-02-25,Hải Phòng,163.5
2025-02-25,Nha Trang,36.5
2025-02-25,Vinh,75.45833333333333
2025-02-26,Cần Thơ,65.86363636363636
2025-02-26,Huế,35.68181818181818
2025-02-26,Hải Phòng,113.31818181818181
2025-02-26,Nha Trang,47.18181818181818
2025-02-26,Vinh,71.77272727272727
2025-02-27,Cần Thơ,64.875
2025-02-27,Huế,64.625
2025-02-27,Hải Phòng,140.70833333333334
2025-02-27,Nha Trang,67.5
2025-02-27,Vinh,83.375
2025-02-28,Cần Thơ,64.41666666666667
2025-02-28,Huế,75.0
2025-02-28,Hải Phòng,127.625
2025-02-28,Nha Trang,68.375
2025-02-28,Vinh,73.375
2025-03-01,Cần Thơ,63.791666666666664
2025-03-01,Huế,60.875
2025-03-01,Hải Phòng,88.70833333333333
2025-03-01,Nha Trang,67.375
2025-03-01,Vinh,72.58333333333333
2025-03-02,Cần Thơ,65.91666666666667
2025-03-02,Huế,67.0
2025-03-02,Hải Phòng,70.625
2025-03-02,Nha Trang,68.16666666666667
2025-03-02,Vinh,75.29166666666667
2025-03-03,Cần Thơ,67.33333333333333
2025-03-03,Huế,71.25
2025-03-03,Hải Phòng,83.5
2025-03-03,Nha Trang,70.0
2025-03-03,Vinh,74.625
2025-03-04,Cần Thơ,74.33333333333333
2025-03-04,Huế,75.625
2025-03-04,Hải Phòng,82.16666666666667
2025-03-04,Nha Trang,67.25
2025-03-04,Vinh,80.58333333333333
2025-03-05,Cần Thơ,73.45833333333333
2025-03-05,Huế,82.95833333333333
2025-03-05,Hải Phòng,101.25
2025-03-05,Nha Trang,70.79166666666667
2025-03-05,Vinh,83.875
2025-03-06,Cần Thơ,66.375
2025-03-06,Huế,48.375
2025-03-06,Hải Phòng,85.91666666666667
2025-03-06,Nha Trang,70.08333333333333
2025-03-06,Vinh,67.54166666666667
2025-03-07,Cần Thơ,61.291666666666664
2025-03-07,Huế,30.0
2025-03-07,Hải Phòng,80.0
2025-03-07,Nha Trang,34.083333333333336
2025-03-07,Vinh,72.70833333333333
2025-03-08,Cần Thơ,58.73913043478261
2025-03-08,Huế,39.26086956521739
2025-03-08,Hải Phòng,105.8695652173913
2025-03-08,Nha Trang,29.391304347826086
2025-03-08,Vinh,84.8695652173913
2025-03-09,Cần Thơ,65.33333333333333
2025-03-09,Huế,44.75
2025-03-09,Hải Phòng,115.58333333333333
2025-03-09,Nha Trang,39.375
2025-03-09,Vinh,87.91666666666667
2025-03-10,Cần Thơ,63.0
2025-03-10,Huế,55.541666666666664
2025-03-10,Hải Phòng,131.95833333333334
2025-03-10,Nha Trang,55.083333333333336
2025-03-10,Vinh,80.33333333333333
2025-03-11,Cần Thơ,65.66666666666667
2025-03-11,Huế,66.0
2025-03-11,Hải Phòng,108.91666666666667
2025-03-11,Nha Trang,66.875
2025-03-11,Vinh,72.125
2025-03-12,Cần Thơ,64.875
2025-03-12,Huế,65.79166666666667
2025-03-12,Hải Phòng,79.34782608695652
2025-03-12,Nha Trang,68.43478260869566
2025-03-12,Vinh,64.82608695652173
2025-03-13,Cần Thơ,63.0
2025-03-13,Huế,77.70833333333333
2025-03-13,Hải Phòng,82.16666666666667
2025-03-13,Nha Trang,59.833333333333336
2025-03-13,Vinh,67.41666666666667
2025-03-14,Cần Thơ,65.25
2025-03-14,Huế,67.16666666666667
2025-03-14,Hải Phòng,68.33333333333333
2025-03-14,Nha Trang,64.83333333333333
2025-03-14,Vinh,78.66666666666667
2025-03-15,Cần Thơ,68.56521739130434
2025-03-15,Huế,61.91304347826087
2025-03-15,Hà Nội,117.85714285714286
2025-03-15,Hải Phòng,78.30434782608695
2025-03-15,Hồ Chí Minh,54.285714285714285
2025-03-15,Nha Trang,69.21739130434783
2025-03-15,Vinh,79.0
2025-03-15,Đà Nẵng,51.142857142857146
2025-03-16,Cần Thơ,69.17391304347827
2025-03-16,Huế,51.91304347826087
2025-03-16,Hà Nội,66.08695652173913
2025-03-16,Hải Phòng,59.26086956521739
2025-03-16,Hồ Chí Minh,69.21739130434783
2025-03-16,Nha Trang,68.91304347826087
2025-03-16,Vinh,72.52173913043478
2025-03-16,Đà Nẵng,52.43478260869565
2025-03-17,Cần Thơ,77.08695652173913
2025-03-17,Huế,42.52173913043478
2025-03-17,Hà Nội,115.95652173913044
2025-03-17,Hải Phòng,78.78260869565217
2025-03-17,Hồ Chí Minh,95.47826086956522
2025-03-17,Nha Trang,64.56521739130434
2025-03-17,Vinh,85.95652173913044
2025-03-17,Đà Nẵng,49.869565217391305
2025-03-18,Cần Thơ,66.04347826086956
2025-03-18,Huế,38.04347826086956
