city,pearson_r,pearson_p,spearman_rho,spearman_p,n
Cần Thơ,0.025,0.01989520749798343,0.0314,0.003497807054291802,8640
Huế,0.0899,5.806752123884463e-17,0.1353,1.4695645597285023e-36,8634
Hà Nội,-0.1412,2.8115186170634813e-36,-0.1781,5.918539914127643e-57,7853
Hải Phòng,-0.0524,1.541821620028317e-06,-0.0873,1.0124285762109605e-15,8415
Hồ Chí Minh,-0.1043,6.2226392831301245e-21,-0.0816,2.2315737522549707e-13,8059
Nha Trang,-0.1411,1.1407754109401705e-39,-0.0004,0.9677189021183479,8636
Vinh,0.0193,0.0728677871778293,0.0165,0.12655215417503557,8624
__ALL__,-0.0997,6.741586616273071e-147,-0.0671,2.0869843480425368e-67,66709
Đà Nẵng,0.079,2.461615239319034e-12,0.045,6.677077895391182e-05,7848
