timestamp,city,aqi,weather_icon,wind_speed,humidity,__source_file
2025-01-23 07:04:41.452430+07:00,Đà Nẵng,109,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,0.0 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-23 08:28:33.266810+07:00,Đà Nẵng,124,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-23 10:02:43.472319+07:00,Đà Nẵng,152,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,83%,aqi_da-nang_2025_jan.csv
2025-01-23 11:01:58.303161+07:00,Đà Nẵng,102,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,73%,aqi_da-nang_2025_jan.csv
2025-01-23 12:01:54.914330+07:00,Đà Nẵng,81,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,57%,aqi_da-nang_2025_jan.csv
2025-01-23 13:02:03.880515+07:00,Đà Nẵng,73,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,61%,aqi_da-nang_2025_jan.csv
2025-01-23 14:02:00.230421+07:00,Đà Nẵng,70,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,61%,aqi_da-nang_2025_jan.csv
2025-01-23 15:01:56.642354+07:00,Đà Nẵng,69,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,53%,aqi_da-nang_2025_jan.csv
2025-01-23 16:01:58.372283+07:00,Đà Nẵng,70,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,61%,aqi_da-nang_2025_jan.csv
2025-01-23 17:02:17.911120+07:00,Đà Nẵng,80,/dl/web/weather/ic-w-02-new-clouds-full.svg,11.1 km/h,61%,aqi_da-nang_2025_jan.csv
2025-01-23 18:01:47.179692+07:00,Đà Nẵng,72,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,61%,aqi_da-nang_2025_jan.csv
2025-01-23 19:02:11.228879+07:00,Đà Nẵng,155,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,68%,aqi_da-nang_2025_jan.csv
2025-01-23 20:05:30.998110+07:00,Đà Nẵng,96,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,83%,aqi_da-nang_2025_jan.csv
2025-01-23 21:02:10.162673+07:00,Đà Nẵng,111,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,83%,aqi_da-nang_2025_jan.csv
2025-01-23 22:02:07.903202+07:00,Đà Nẵng,154,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,88%,aqi_da-nang_2025_jan.csv
2025-01-23 23:02:04.010979+07:00,Đà Nẵng,156,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,94%,aqi_da-nang_2025_jan.csv
