timestamp,city,aqi,weather_icon,wind_speed,humidity,__source_file
2025-01-21 19:53:14.094654+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,73%,aqi_hue_2025_jan.csv
2025-01-21 20:06:13.918557+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,78%,aqi_hue_2025_jan.csv
2025-01-21 21:02:51.135439+07:00,Huế,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,78%,aqi_hue_2025_jan.csv
2025-01-21 22:02:48.185793+07:00,Huế,91,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,aqi_hue_2025_jan.csv
2025-01-21 23:02:52.285168+07:00,Huế,89,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,aqi_hue_2025_jan.csv
2025-01-22 00:02:47.748918+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,78%,aqi_hue_2025_jan.csv
2025-01-22 01:02:44.683662+07:00,Huế,87,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,89%,aqi_hue_2025_jan.csv
2025-01-22 02:02:37.565201+07:00,Huế,88,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,77%,aqi_hue_2025_jan.csv
2025-01-22 03:02:37.774953+07:00,Huế,96,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,77%,aqi_hue_2025_jan.csv
2025-01-22 04:02:38.509530+07:00,Huế,105,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,88%,aqi_hue_2025_jan.csv
2025-01-22 05:02:31.775252+07:00,Huế,106,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%,aqi_hue_2025_jan.csv
2025-01-22 06:02:25.111689+07:00,Huế,112,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_hue_2025_jan.csv
2025-01-22 07:05:16.777662+07:00,Huế,116,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_hue_2025_jan.csv
2025-01-22 09:25:25.177891+07:00,Huế,101,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,78%,aqi_hue_2025_jan.csv
2025-01-22 11:02:49.181173+07:00,Huế,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,60%,aqi_hue_2025_jan.csv
2025-01-22 12:02:40.366765+07:00,Huế,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,60%,aqi_hue_2025_jan.csv
2025-01-22 13:02:55.064029+07:00,Huế,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,60%,aqi_hue_2025_jan.csv
2025-01-22 14:02:41.204608+07:00,Huế,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,61%,aqi_hue_2025_jan.csv
2025-01-22 15:02:45.368525+07:00,Huế,59,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%,aqi_hue_2025_jan.csv
2025-01-22 16:02:41.041924+07:00,Huế,57,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%,aqi_hue_2025_jan.csv
2025-01-22 17:02:24.024169+07:00,Huế,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,64%,aqi_hue_2025_jan.csv
2025-01-22 18:02:11.341727+07:00,Huế,56,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,82%,aqi_hue_2025_jan.csv
2025-01-22 19:02:45.498607+07:00,Huế,59,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,9.2 km/h,73%,aqi_hue_2025_jan.csv
2025-01-22 20:06:09.109399+07:00,Huế,61,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%,aqi_hue_2025_jan.csv
2025-01-22 21:02:29.324961+07:00,Huế,65,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%,aqi_hue_2025_jan.csv
2025-01-22 22:02:23.976337+07:00,Huế,84,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,0.0 km/h,88%,aqi_hue_2025_jan.csv
2025-01-22 23:02:27.671983+07:00,Huế,98,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,0.0 km/h,83%,aqi_hue_2025_jan.csv
2025-01-23 00:02:50.405130+07:00,Huế,107,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,88%,aqi_hue_2025_jan.csv
2025-01-23 01:02:29.566586+07:00,Huế,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%,aqi_hue_2025_jan.csv
2025-01-23 02:02:28.344046+07:00,Huế,88,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_hue_2025_jan.csv
2025-01-23 03:02:34.302099+07:00,Huế,78,/dl/web/weather/ic-w-09-mist-full.svg,0.0 km/h,94%,aqi_hue_2025_jan.csv
2025-01-23 04:02:22.094177+07:00,Huế,74,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_hue_2025_jan.csv
